genre,url
"[Simulation, Combat, Space]",holy-potatoes!-were-in-space!
"[Action Adventure, Adventure, Horror, General, Horror]",home
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",homefront
"[Shooter, Modern, Modern, Action, Shooter, First-Person, Arcade]",homefront-the-revolution
"[Adventure, 3D, First-Person]",homesick
"[Strategy, Real-Time, Sci-Fi, Sci-Fi, General]",homeworld
"[Strategy, Real-Time, Sci-Fi, Sci-Fi, General]",homeworld-2
"[Miscellaneous, Compilation]",homeworld-remastered-collection
"[Strategy, Real-Time, Sci-Fi, Sci-Fi, General]",homeworld-cataclysm
"[Strategy, Real-Time, Command]",homeworld-deserts-of-kharak
"[Adventure, General, General]",hoodwink
"[Driving, Racing, Arcade, Mission-based, GT / Street, Automobile]",hooters-road-trip
"[Action, General]",hopiko
"[General, Strategy, Turn-Based, General, 4X]",horizon
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy]",horizons-empire-of-istaria
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",hospital-tycoon
"[Strategy, General, General]",hostile-waters-antaeus-rising
"[Strategy, Tycoon]",hot-dog-king-a-fast-food-empire
"[Adventure, General]",hot-tin-roof-the-cat-that-wore-a-fedora
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",hotel-giant-2
"[Action, Action Adventure, General, General, Linear]",hotline-miami
"[Action, Action Adventure, General, General, Linear]",hotline-miami-2-wrong-number
"[Adventure, General]",house-of-caravan
"[Action, Shooter, First-Person, Arcade]",house-of-the-dying-sun
"[Simulation, Vehicle, Combat]",hover-junkers
"[Action, Platformer, 3D]",hover-revolt-of-gamers
"[Action Adventure, Horror, Horror, Survival]",how-to-survive
"[Action Adventure, Survival]",how-to-survive-2
"[Action Adventure, Survival]",how-to-survive-third-person-standalone
"[Miscellaneous, Board Games, Board Games, Board / Card Game]",hoyle-majestic-chess
"[Puzzle, Action]",hue
"[Action, Beat-'Em-Up, Beat-'Em-Up, 2D]",hulk
"[Puzzle, General]",human-resource-machine
"[Action Adventure, General]",human-fall-flat
"[Action, Action Adventure, Sci-Fi, Sci-Fi, Shooter, Shoot-'Em-Up, Horizontal]",humans-must-answer
"[Action Adventure, Fantasy, General, Fantasy]",hunted-the-demons-forge
"[Action, Platformer, 2D]",hunters-legacy
"[Sports, Nature, Hunting, Hunting]",hunting-unlimited-2
"[Action Adventure, Survival]",husk
"[Action, Shooter, Shoot-'Em-Up, Top-Down]",hybrid-wars
"[Action Adventure, Horror, Horror, Survival]",hydrophobia-prophecy
"[Role-Playing, Action RPG]",hyper-light-drifter
"[Role-Playing, Strategy, Turn-Based, General, Tactics]",hyperdevotion-noire-goddess-black-heart
"[Role-Playing, General, Japanese-Style]",hyperdimension-neptunia-rebirth1
"[Action, Beat-'Em-Up, 3D]",hyperdimension-neptunia-u-action-unleashed
"[Action Adventure, Sci-Fi]",hyperspace-delivery-boy!
"[Action Adventure, Modern, General]",k-hawk-survival-instinct
"[Adventure, General, General]",kairo
"[Action, General]",kalimba
"[Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade]",kane-lynch-2-dog-days
"[Action, Shooter, Shooter, Third-Person, Tactical, Modern, Modern]",kane-lynch-dead-men
"[Action, General, General, Platformer, 3D]",kao-the-kangaroo
"[Adventure, 3D, Point-and-Click, Sci-Fi, Sci-Fi, Third-Person]",kaptain-brawe-a-brawe-new-world
"[Action, General, General]",karateka
"[Action, Platformer, 3D]",karmaflow-the-rock-opera-videogame
"[Adventure, Point-and-Click]",kathy-rain
"[Adventure, 3D, First-Person]",keep-talking-and-nobody-explodes
"[Adventure, Third-Person, Point-and-Click, Fantasy, Fantasy]",keepsake
"[Sports, Alternative, Individual, Surfing, Surfing, Surf / Wakeboard]",kelly-slaters-pro-surfer
"[Adventure, Point-and-Click]",kelvin-and-the-infamous-machine
"[Adventure, General, General]",kentucky-route-zero---act-i
"[Adventure, General, General]",kentucky-route-zero---act-ii
"[Adventure, General]",kentucky-route-zero---act-iii
"[Adventure, General]",kentucky-route-zero---act-iv
"[Sci-Fi, Small Spaceship, Small Spaceship, Simulation, Space, Combat]",kerbal-space-program
"[General, Action, Platformer, Shooter, 2D, Scrolling, Shoot-'Em-Up, Vertical]",kero-blaster
"[Fantasy, Adventure, 3D, First-Person]",kholat
"[Action, Miscellaneous, Rhythm, Music]",kickbeat-steam-edition
"[Miscellaneous, Puzzle, Action]",kill-the-bad-guy
"[Action, Shooter, Shoot-'Em-Up, Top-Down]",kill-to-collect
"[Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade]",killswitch
"[Action Adventure, Sci-Fi, General]",killer-is-dead-nightmare-edition
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",killing-floor
"[Role-Playing, Strategy, General, Massively Multiplayer Online, General, Fantasy]",king-arthur-ii-the-role-playing-wargame
"[Action, Platformer, Platformer, 2D, 2D]",king-arthurs-gold
"[Strategy, Real-Time, Fantasy]",king-arthur-fallen-champions
"[Strategy, Real-Time, Fantasy, General]",king-arthur-the-role-playing-wargame
"[Role-Playing, Strategy, Turn-Based, General, General]",kings-bounty-armored-princess
"[Strategy, Turn-Based, Fantasy, General, Fantasy]",kings-bounty-crossworlds
"[Strategy, Turn-Based, General, Fantasy]",kings-bounty-dark-side
"[Strategy, Turn-Based, Fantasy, General, Fantasy, Tactics]",kings-bounty-the-legend
"[Strategy, Turn-Based, Fantasy, General, Fantasy]",kings-bounty-warriors-of-the-north
"[Adventure, General]",kings-quest-chapter-1-a-knight-to-remember
"[Adventure, General]",kings-quest-chapter-2-rubble-without-a-cause
"[Adventure, General]",kings-quest-chapter-3-once-upon-a-climb
"[Action, General]",kingdom
"[Strategy, Real-Time, General, General]",kingdom-under-fire-a-war-of-heroes
"[Strategy, Real-Time, General]",kingdoms-and-castles
"[Role-Playing, PC-style RPG, Action RPG]",kingdoms-of-amalur-reckoning
"[Action, Shooter, Shooter, First-Person, Fantasy, Arcade]",kiss-psycho-circus---the-nightmare-child
"[Action, Rhythm, Music]",klang
"[Adventure, 3D, First-Person]",knee-deep-act-1-wonderland
"[Driving, Racing, Mission-based, Arcade, Automobile]",knight-rider-the-game
