genre,url
"[Strategy, Real-Time, Sci-Fi, Sci-Fi, General]",ai-war-fleet-command
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy]",aion
"[Strategy, General]",air-command-30
"[Simulation, Flight, WWII, WWII, Combat]",air-conflicts-secret-wars
"[Action, Simulation, Flight, Flight, Combat]",air-conflicts-vietnam
"[Action, Shooter, Shooter, First-Person, Historic, Historic]",air-raid-this-is-not-a-drill!
"[Strategy, Wargame, Real-Time]",airborne-assault-conquest-of-the-aegean
"[Strategy, Wargame, Real-Time]",airborne-assault-highway-to-the-reich
"[Strategy, Wargame, Turn-Based]",airborne-assault-red-devils-over-arnhem
"[General, Action, General]",airbuccaneers
"[Simulation, Flight, Modern Jet, Modern Jet, Combat]",airfix-dogfighter
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",airline-tycoon-2
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",airport-tycoon-2
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",airport-tycoon-3
"[Action, Platformer, 2D]",airscape-the-fall-of-gravity
"[Role-Playing, Action RPG, Action RPG]",akaneiro-demon-hunters
"[Adventure, Third-Person, Point-and-Click, Modern, Modern]",al-emmo-and-the-lost-dutchmans-mine
"[Action Adventure, Modern, Horror, Horror, Survival]",alan-wake
"[Action Adventure, Modern, General, Modern, Linear]",alan-wakes-american-nightmare
"[Action Adventure, Adventure, General, Linear]",albedo-eyes-from-outer-space
"[Action, Platformer, 2D]",albert-and-otto---the-adventure-begins
"[Action Adventure, Survival]",albino-lullaby-episode-1
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Historic]",albion-online
"[Historic, Action Adventure, General]",alekhines-gun
"[Strategy, Real-Time, Historic, General, Historic]",alexander
"[Action Adventure, Modern, General, Modern]",alfred-hitchcock-presents-the-final-cut
"[Action Adventure, Modern, General, Modern]",alias
"[Action, Action Adventure, General, General, Fantasy]",alice-in-wonderland
"[Action Adventure, General]",alice-vr
"[Action Adventure, Adventure, General, Horror, Horror, Survival]",alice-madness-returns
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi]",alien-blast-the-encounter
"[Action, Shooter, Shooter, Third-Person, Sci-Fi, Fantasy, Arcade]",alien-breed-2-assault
"[Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade]",alien-breed-3-descent
"[Action Adventure, Horror, Horror, Survival]",alien-breed-impact
"[Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade]",alien-rage
"[Action, General, General]",alien-shooter-vengeance
"[Action, Shooter, Shooter, Third-Person, Tactical, Modern]",alien-swarm
